gameId,round,homeTeam,homeTeamId,homeTeamScore,homePos,visitingTeam,visitingTeamId,visitingTeamScore,visitingPos,date,league,leagueId,leagueGender,round,spectators,arenaId,arenaName,referees
708969,1,Gais,9382,2,1,Örgryte IS,9380,0,14,2006-04-01T13:30+0200,Allsvenskan,10581,MEN,1,11378,,,
708970,1,AIK,9367,2,4,Gefle,9400,2,5,2006-04-02T15:00+0200,Allsvenskan,10581,MEN,1,23822,14,Råsunda Fotbollsstadion,
708972,1,Göteborg,9370,0,8,Öster,9394,0,9,2006-04-03T19:00+0200,Allsvenskan,10581,MEN,1,7118,,,
708974,1,Malmö FF,9375,1,7,Häcken,19740,1,6,2006-04-03T19:00+0200,Allsvenskan,10581,MEN,1,14381,,,
708975,1,Hammarby,9372,4,10,Helsingborg,9373,2,13,2006-04-04T19:00+0200,Allsvenskan,10581,MEN,1,12119,,,
708976,2,Helsingborg,9373,1,6,Gais,9382,0,5,2006-04-08T16:00+0200,Allsvenskan,10581,MEN,2,10725,,,
708977,2,Häcken,19740,0,8,Halmstad,9371,0,12,2006-04-09T15:00+0200,Allsvenskan,10581,MEN,2,1510,,,
708978,2,Gefle,9400,2,7,Kalmar FF,9374,2,11,2006-04-09T15:00+0200,Allsvenskan,10581,MEN,2,4089,,,
708980,2,Elfsborg,9369,1,3,Göteborg,9370,1,9,2006-04-10T19:00+0200,Allsvenskan,10581,MEN,2,15102,,,
708981,2,Örgryte IS,9380,1,14,Malmö FF,9375,2,2,2006-04-10T19:00+0200,Allsvenskan,10581,MEN,2,4267,,,
708982,2,Öster,9394,0,13,AIK,9367,4,1,2006-04-10T19:00+0200,Allsvenskan,10581,MEN,2,7896,,,
708979,2,Djurgården,9368,0,4,Hammarby,9372,0,10,2006-04-10T20:00+0200,Allsvenskan,10581,MEN,2,30139,13,Stockholms Stadion,
708991,3,Göteborg,9370,2,9,Helsingborg,9373,2,8,2006-04-14T15:00+0200,Allsvenskan,10581,MEN,3,8138,,,
708992,3,Kalmar FF,9374,1,12,Gais,9382,2,3,2006-04-14T15:00+0200,Allsvenskan,10581,MEN,3,4633,,,
708993,3,Öster,9394,3,13,Elfsborg,9369,4,2,2006-04-14T15:00+0200,Allsvenskan,10581,MEN,3,5157,,,
